"Node","Score","Impacted","Stressed","Total"
"CN007D","83","9","11","144"
"AAG31A","83","60","11","81"
"LL7119A","83","3","47","106"
"DO003","83","17","0","73"
"PPC75","83","4","33","46"
"AQB13","83","83","19","144"
"LP010","83","21","1","91"
"HS2090","83","12","47","135"
"CC4040A","83","31","2","141"
"DO030B","83","15","44","155"
"CR007","83","11","54","98"
"AIS30","83","74","6","97"
"ISI05","83","27","33","81"
"SSB08","83","19","88","165"
"DO014B","83","6","8","139"
"MT027A","83","26","31","78"
"CA027B","83","10","11","184"
"MCR12","83","10","6","85"
"SSG04","83","9","55","108"
"HA023A","83","4","9","106"
"AR018","83","31","40","103"
"CC4770/4772","83","27","41","86"
"AAG18","83","23","62","116"
"FJ002B","83","35","31","88"
"PGN12","83","6","70","100"
"LL7002A","83","4","47","86"
"HG3002","83","43","21","77"
"LB5108A","83","8","113","214"
"CA068","83","9","78","152"
"HG3579","83","10","82","132"
"CS2106B","83","27","41","142"
"MHM06","83","15","7","178"
"LA6007","83","25","138","215"
"HS2068","83","27","63","101"
"LP008B","83","12","12","139"
"PPC10B","83","11","69","118"
"CC4401A","83","11","43","184"
"LU005A","83","6","8","119"
"HG3521","83","11","79","118"
"JU009B","83","8","0","145"
"AAD28","83","13","15","203"
"HG3519","83","15","156","184"
"LL7037","83","24","99","170"
"RG028C","83","5","82","125"
"LU003B","83","13","20","192"
"HS2206","83","14","5","210"
"CC4713","83","15","77","160"
"MAN12A","83","36","27","72"
"PPC65A","83","2","112","142"
"HM004A","83","20","116","149"
"HS2154","83","101","30","162"
"MRC08B","83","103","21","146"
"CN004A","83","10","17","185"
"FL010","83","61","31","97"
"LP007B","83","5","7","137"
"HS2150","83","46","59","181"
"PPC100","83","3","110","150"
"HG3051","83","7","19","191"
"GPT05","83","78","40","139"
"SSB21","83","34","58","160"
"LP008A","83","19","84","174"
"SLJ11","83","12","92","209"
"GU005B","83","6","28","283"
"CI002","83","40","0","41"
"CC4102","83","21","7","222"
"PJD28A","83","6","98","159"
"AR045B","83","3","65","188"
"HS2261","83","109","6","117"
"CC4078","83","15","98","206"
"PJD27","83","10","37","228"
"SCR27B","83","49","89","151"
"HS2178","83","83","21","148"
"VB006A","83","26","63","91"
"AIS03","83","11","37","168"
"LB5062","83","173","19","202"
"HG3701/HG3702/HG3703/HG3704","83","77","2","90"
"AR006A","83","46","5","80"
"LB5029","83","14","113","176"
"HT9018B","83","12","53","197"
"PGN06","83","7","103","201"
"MMY91","83","48","50","146"
"CN006B","83","91","57","205"
"HS3590","83","49","85","149"
"RG040","83","13","6","231"
"HM013A","83","134","4","138"
"HS2239","83","105","38","163"
"HS2210","83","34","97","181"
"CC4036A","83","20","135","196"
"PYC19","83","72","14","211"
"BA005A","83","21","8","188"
"LK8005","83","156","0","158"
"CS2107","83","12","78","248"
"CC4256","83","24","130","236"
"MMY05","83","74","4","78"
"HS2044","83","68","104","227"
"CT9029","83","22","59","246"
"HM014A","83","16","7","256"
"DO032A","83","33","98","265"
"PPC48","83","78","17","109"
"PPC15","83","23","111","278"
"MMY78","83","207","31","242"
"LA6012","83","228","1","239"
"ISI07","83","49","164","260"
"CB001B","83","32","108","261"
"LL7009B","83","206","1","207"
"AIS13","83","240","11","276"
"HC4509","83","109","159","362"
"CB007A","83","31","144","335"
"CA040B","84","24","29","77"
"CA037B","84","7","12","147"
"CA047B","84","6","1","98"
"GU011A","84","5","80","195"
"GU015A","84","23","11","103"
"CD006A","84","8","0","106"
"LP030","84","24","2","158"
"AR013A","84","17","30","61"
"SSG19","84","10","4","87"
"AIS15","84","12","5","153"
"LU016","84","9","13","172"
"BB5204B","84","15","13","151"
"AB003B","84","3","29","35"
"HT9022","84","12","26","159"
"BA011B","84","6","23","101"
"UT014","84","2","27","29"
"AQB04","84","6","37","56"
"CA012B","84","10","9","169"
"HC4203","84","8","1","132"
"LU003A","84","7","5","52"
"HS2696","84","25","65","129"
"VB035B","84","6","17","92"
"HS2135","84","38","34","100"
"HS2663","84","31","39","103"
"MMY22","84","17","16","78"
"HS2190","84","20","8","128"
"RG028B","84","3","54","67"
"MMY81","84","44","32","98"
"GU003","84","14","1","92"
"HS2275","84","17","73","106"
"BQ003A","84","15","24","70"
"MT002B","84","8","12","130"
"MMR02","84","24","1","27"
"AR075B","84","12","2","178"
"HG3581","84","16","3","165"
"PPC60","84","20","72","129"
"CN016","84","14","86","159"
"HS2400","84","7","2","106"
"HS2122","84","18","34","90"
"MMY71","84","7","3","156"
"DO052","84","16","12","146"
"HS2265","84","12","78","149"
"CA008A","84","5","103","159"
"CA005A","84","13","4","146"
"VB036A","84","10","29","113"
"P096B","84","25","55","129"
"HS2124","84","9","68","150"
"HS1101","84","43","32","92"
"HB5218/5219","84","22","0","23"
"MMY58","84","102","2","109"
"CT9011","84","8","6","193"
"LA6011","84","20","10","124"
"MMY21","84","11","1","86"
"ISL08A","84","28","68","151"
"BA004D","84","6","11","167"
"PPC43","84","41","52","122"
"HG3745/3752","84","28","9","50"
"AAD09","84","7","10","147"
"AAG01","84","30","45","101"
"SSB18","84","27","41","176"
"MT013B","84","48","3","52"
"SSB14","84","79","88","179"
"RG020","84","66","0","67"
"PPC77","84","31","32","149"
"BA005B","84","22","70","110"
"GGY32","84","34","1","36"
"P033A","84","67","27","112"
"HS2851","84","53","11","69"
"PPC18","84","30","43","136"
"CC4070","84","15","21","190"
"FL005","84","102","0","104"
"PGN05","84","10","59","125"
"P084","84","10","1","122"
"HS2095","84","105","17","172"
"HG3705/3706/3707/3743/3744/3745","84","66","78","161"
"PPC102A","84","19","6","81"
"LB5341","84","6","57","106"
"AAD30","84","38","23","100"
"AR024B","84","25","34","60"
"LB5022B","84","49","32","100"
"CC4104A","84","16","19","202"
"CC4103B","84","4","75","79"
"AQB18","84","88","7","101"
"GAR06","84","60","41","135"
"CB001A","84","4","25","155"
"NA017","84","8","101","185"
"HM006B","84","12","3","190"
"RG025B","84","5","161","169"
"ICO24","84","50","39","119"
"LB5075","84","87","20","146"
"HT9109","84","14","7","195"
"HS2202","84","30","38","84"
"MT031","84","59","0","59"
"NA006","84","19","98","126"
"HG3026","84","11","30","214"
"ISL11","84","60","17","89"
"BB5153B","84","34","74","139"
"MMY27","84","48","37","212"
"BQ003B","84","14","62","121"
"HT9245/9246/9247/9249/9250/9251","84","63","29","116"
"MRC05B","84","34","2","99"
"YA006B","84","10","81","144"
"ISI10A","84","32","49","221"
"DO024A","84","17","75","99"
"HT9286","84","16","84","213"
"HT9018A","84","12","96","173"
"HT9007","84","90","7","103"
"NA002A","84","16","6","222"
"MMY73","84","83","0","84"
"CM001A","84","88","4","94"
"PJD23","84","39","96","208"
"AIS33","84","44","0","83"
"CO006","84","89","53","158"
"MO002B","84","62","54","118"
"SGU10","84","97","1","101"
"HS2607","84","47","6","56"
"BB5166A","84","65","0","84"
"PPC07","84","35","6","239"
"AMC17","84","89","56","193"
"BB5153A","84","44","104","196"
"LA6079/LA6078","84","26","0","26"
"PPC82","84","73","93","190"
"CC4054","84","37","115","253"
"PJD39C","84","66","19","87"
"P102","84","6","1","203"
"LB5094","84","217","13","241"
"CC4029D","84","102","4","107"
"PPC29B","84","25","12","250"
"LL7000B","84","126","24","153"
"SCR26","84","13","64","238"
"AAD27","84","129","2","152"
"HT9015A","84","28","0","190"
"AAG25","84","10","148","226"
"CB004B","84","29","160","202"
"HG3501","84","26","83","215"
"ISI13","84","77","92","242"
"CA076B","84","7","26","272"
"SGU17","84","201","4","223"
"LU009A","84","10","48","231"
"HC4006","84","106","114","232"
"GGY1A","84","155","11","173"
"CN014","84","103","64","200"
"CN018","84","194","3","206"
"FJ023","84","137","80","252"
"HM001C","84","4","224","258"
"LL7004C","84","5","102","247"
"LA6098","84","24","56","270"
"LK8003","84","221","0","224"
"FJ008B","84","31","109","313"
"PPC01","84","33","6","286"
"CC4018","84","178","79","269"
"BB5012","84","230","15","251"
"HS2606","84","45","7","341"
"FJ003B","84","69","190","327"
"HT9253","85","-1","0","0"
"HT9203","85","-1","0","0"
"HS2824","85","-1","0","0"
"CD034","85","-1","0","0"
"CA042A","85","29","2","111"
"CA31B","85","9","0","172"
"CA038B","85","4","12","155"
"SGU01","85","3","12","48"
"SSG08","85","10","7","112"
"PPC107C","85","7","30","84"
"LU010B","85","8","4","135"
"AAD03","85","5","38","160"
"PJD39B","85","5","30","90"
"CC4067","85","9","5","165"
"MMY46","85","9","38","167"
"ICO26","85","4","11","120"
"AR022A","85","8","49","101"
"VA025A","85","17","47","166"
"SLJ04","85","11","28","74"
"VA002A","85","6","5","175"
"MRC13B","85","15","5","82"
"VA023A","85","9","0","83"
"BB5020","85","61","71","188"
"MO010A","85","9","2","82"
"LK8001B","85","11","54","153"
"HS2077","85","27","49","166"
"DO001B","85","17","6","147"
"LL7002B","85","3","26","89"
"RG009B","85","9","37","58"
"HS2638","85","16","70","115"
"GU020A","85","26","85","131"
"AAG08","85","9","36","96"
"MLM01","85","11","3","76"
"JU003","85","6","6","104"
"HS3503","85","15","48","131"
"CM015","85","13","29","69"
"HS2153","85","17","43","148"
"SL007","85","15","1","131"
"RG013C","85","19","13","160"
"PPN04 2","85","103","6","112"
"DO033A","85","17","5","130"
"HS2218","85","11","4","175"
"FL009","85","11","24","164"
"SL008D","85","5","34","146"
"CC4074","85","7","99","151"
"MHM02","85","18","45","105"
"JU002","85","26","66","170"
"CO003B","85","10","29","145"
"CA002A","85","7","9","157"
"ISL14","85","27","6","109"
"CT9027A","85","36","80","145"
"AMC08","85","49","49","126"
"CA014","85","5","27","108"
"PPN02","85","12","3","188"
"SL008B","85","15","19","94"
"PPC52","85","7","2","181"
"CC4803","85","4","28","154"
"VB021","85","20","9","168"
"PPC29A","85","21","12","110"
"AIS12","85","57","40","119"
"CA052B","85","16","92","173"
"HS2037","85","9","32","183"
"CM002B","85","6","19","141"
"SCR36","85","12","73","107"
"PPC21/PPC23","85","12","5","86"
"HS2505","85","18","45","109"
"CC4056","85","46","56","139"
"SB047/SB049","85","47","0","47"
"CC4072","85","8","3","206"
"AR045A","85","14","53","81"
"CA074","85","5","37","190"
"LP012C","85","11","54","180"
"MO017/OR004","85","24","0","24"
"AI002A","85","23","73","141"
"AR039B","85","29","52","112"
"CC4036B","85","8","6","154"
"HS2145","85","38","34","89"
"CA083","85","13","3","212"
"HM004B","85","3","3","105"
"ISI06","85","20","4","197"
"HC4510","85","47","56","185"
"SCR03","85","43","86","188"
"SSB04","85","42","58","112"
"CC4026","85","10","6","208"
"HS2566","85","16","42","146"
"DO017A","85","8","57","102"
"PPN06","85","16","92","161"
"HS2071","85","9","56","175"
"FL008","85","7","96","165"
"GGY08","85","37","97","144"
"LZ005B","85","5","23","135"
"LB5050A","85","167","12","183"
"HS2185","85","112","20","171"
"CA072A","85","26","51","131"
"BA012A","85","8","119","130"
"MMY37","85","59","31","102"
"HC4521A","85","17","2","215"
"BQ002B","85","7","28","192"
"PPC09B","85","27","74","140"
"VB039B","85","9","133","181"
"AR050B","85","27","32","74"
"P096A","85","15","1","206"
"HA009A","85","9","89","135"
"LA6097","85","35","10","141"
"PPC11","85","7","79","120"
"HC4304A","85","24","109","179"
"FJ004B","85","11","78","198"
"AR046A","85","6","129","138"
"GU016","85","15","54","181"
"AAD29","85","62","21","94"
"CT9013","85","17","7","238"
"AAD23","85","120","2","126"
"VB016A","85","4","34","149"
"CC4069","85","5","56","191"
"PPC16B","85","10","8","219"
"CY016A","85","5","92","217"
"PYC03A","85","8","2","201"
"FJ024A","85","7","68","235"
"SSG12","85","4","1","155"
"RG008B","85","13","85","119"
"GPT01A","85","29","89","208"
"LL7016","85","20","125","232"
"LL7022","85","77","1","80"
"HT9019","85","56","66","158"
"HG3560","85","19","140","176"
"LB5061","85","165","0","168"
"CA009A","85","38","121","190"
"AR053B","85","4","37","218"
"CS2099","85","39","115","195"
"LB5049","85","6","1","152"
"PPN15A","85","92","10","106"
"CC4039","85","9","20","211"
"P079","85","25","133","167"
"PYC16","85","22","104","166"
"CN006A","85","18","3","219"
"P076","85","4","101","181"
"PPC30","85","6","77","135"
"PPC03","85","23","23","164"
"HT9006","85","9","59","252"
"P112","85","4","106","157"
"LZ003A","85","144","5","159"
"MRC01B","85","31","6","211"
"VB008A","85","30","78","179"
"CB007B","85","4","33","171"
"SCR34","85","83","4","89"
"LL8004","85","37","108","210"
"AMC28","85","43","120","221"
"AR076","85","43","1","79"
"JU028B","85","29","73","188"
"PJD36","85","7","1","207"
"HG3741/3751","85","53","0","64"
"GAR02","85","138","1","155"
"LP001A","85","54","0","194"
"FL002","85","125","48","181"
"HS2086","85","22","78","292"
"PPC64","85","64","142","233"
"PAJ03B","85","84","9","98"
"AAD05","85","139","0","142"
"HG3028","85","99","0","100"
"FJ001B","85","58","11","248"
"CN002B","85","19","83","343"
"PJD17","85","17","218","247"
"RG017","85","22","108","331"
"PPC55","85","204","63","297"
"VB017C","85","26","179","285"
"GU038","86","-1","0","0"
"HT9236","86","-1","0","0"
"MMY59C","86","-1","0","0"
"CD029","86","-1","0","0"
"HT9217","86","-1","0","0"
"HS2816","86","-1","0","0"
"HT9282","86","-1","0","0"
"HT9225","86","-1","0","0"
"CA31A","86","6","16","120"
"GU015B","86","8","3","110"
"SL002A","86","12","92","129"
"GU012B","86","10","150","161"
"BB5161","86","10","1","149"
"CA034B","86","9","12","179"
"LB5078","86","66","16","86"
"DO019","86","8","34","92"
"LP002A","86","7","5","61"
"RG034A","86","8","14","119"
"HS2832","86","8","2","67"
"PPN15B","86","8","22","128"
"PPN09","86","8","10","131"
"DO054","86","4","1","34"
"BQ002A","86","8","27","126"
"NA015B","86","16","57","151"
"LZ004B","86","10","39","104"
"CC4082","86","17","11","31"
"RG029A","86","19","28","73"
"VB002A","86","14","2","105"
"CA018B","86","21","10","128"
"MMY17","86","9","4","104"
"PJD01","86","9","3","165"
"HS2611","86","4","8","69"
"LB5060B","86","11","8","158"
"CC4029A/CC4029B","86","9","18","124"
"FJ012B","86","10","2","147"
"MMY63B","86","5","2","74"
"HS2134","86","6","9","111"
"HT9117","86","8","0","176"
"ICO14","86","9","14","142"
"CN007A","86","5","4","140"
"HG3539","86","7","3","107"
"MMY04B","86","12","32","152"
"ICO17","86","15","53","163"
"SL014D","86","8","9","86"
"HG3514","86","18","20","81"
"HT9020","86","25","100","136"
"GU37","86","7","15","234"
"MMY15","86","18","70","171"
"VB042/DO056","86","4","0","54"
"CB002B","86","6","0","77"
"AAD01","86","30","44","98"
"MO001A","86","9","10","167"
"HS2665","86","6","21","144"
"CA089","86","4","3","132"
"HG3562","86","27","26","78"
"HG3030","86","14","3","151"
"P034","86","13","3","85"
"CT9012","86","14","1","138"
"MMY06","86","8","34","79"
"MMY04A","86","18","0","138"
"HG3763","86","3","6","47"
"AIS04","86","10","32","93"
"MMY36","86","71","19","102"
"CC4076","86","11","0","155"
"CN004B","86","9","10","163"
"CA076A","86","11","20","48"
"HS2674","86","19","23","44"
"MMY53","86","9","9","120"
"HS1100","86","8","42","71"
"LK8000B","86","12","5","166"
"MO014","86","3","2","87"
"LL7032A","86","8","2","199"
"FJ025","86","38","2","49"
"HS2234","86","9","32","49"
"AR065/AR069","86","12","83","146"
"DO057","86","15","4","112"
"GU008B","86","13","57","144"
"PYC05","86","20","71","149"
"CC4062B","86","34","44","130"
"CO005A","86","6","79","89"
"PJD39A","86","16","24","100"
"AIS35","86","28","74","154"
"PPC61","86","5","41","173"
"PPC76","86","9","24","130"
"HS2169","86","9","49","143"
"VA008","86","5","87","169"
"AR038","86","33","52","106"
"DO001A","86","18","6","125"
"RG022","86","5","59","119"
"HC4124","86","28","33","95"
"GAR11","86","34","71","156"
"AR040A","86","5","9","75"
"CN011A","86","7","5","178"
"HS2613","86","10","26","38"
"HM025B","86","10","2","177"
"CC4601","86","12","129","181"
"VA013","86","25","57","91"
"CA057B","86","7","75","94"
"MMY25","86","17","4","125"
"LP013","86","8","8","169"
"AIS09","86","13","13","126"
"AAD36","86","18","62","127"
"SB003A","86","3","65","121"
"BA012B","86","83","7","104"
"JU014","86","16","81","175"
"PJD12","86","13","109","149"
"MMY52","86","17","8","125"
"HC4515","86","3","31","184"
"LB5231/5233","86","35","5","42"
"VB035A","86","6","51","106"
"MO013A","86","5","4","140"
"CA077C","86","73","8","84"
"PPC38","86","8","107","170"
"HC4108B","86","10","110","159"
"ICO15","86","9","34","124"
"MMY39","86","54","4","63"
"GU030/GU031","86","18","49","105"
"UT005A","86","24","28","103"
"SB007C","86","25","16","43"
"DO015A","86","22","16","128"
"PJD08","86","19","43","109"
"CA062B","86","23","36","59"
"BB5178","86","6","103","172"
"HM001A","86","2","69","83"
"GU041A","86","5","66","106"
"SCR04","86","7","47","175"
"HS2056","86","9","44","190"
"VB013B","86","9","14","198"
"MHM04","86","5","1","123"
"CC4083","86","14","6","206"
"AAD08","86","65","0","70"
"HS2083","86","16","93","124"
"CC4094A","86","15","1","120"
"PJD28B","86","6","75","104"
"AAD45","86","42","87","164"
"AAD16","86","10","49","140"
"MHM03","86","12","1","161"
"NR014/NR015","86","43","8","59"
"GAR15","86","64","45","136"
"JU020","86","2","15","137"
"VB029B","86","42","1","46"
"LA006","86","68","29","139"
"ICO10","86","2","73","86"
"LU019B","86","5","101","142"
"HS2170","86","14","65","106"
"CC4763/4769","86","71","6","80"
"BB5179","86","14","7","212"
"CC4089","86","29","1","70"
"LB5232/5234","86","38","14","58"
"LL7118B","86","94","13","113"
"HS2256","86","2","95","119"
"HT9276/HT9277","86","51","0","54"
"HS2219","86","19","59","225"
"HG3708/3710/3711/3712","86","43","13","59"
"HT9232/9233/9234","86","47","31","99"
"LU014","86","13","13","205"
"LL7111","86","7","127","146"
"CA002B","86","27","42","145"
"HT9257/9258/9255/9256","86","92","4","101"
"CN012A","86","119","19","148"
"SSG07","86","31","175","212"
"HS2020","86","43","0","71"
"LA002B","86","50","5","55"
"GU022A","86","12","102","236"
"MMY44","86","26","9","50"
"LB5070","86","21","78","257"
"HS2117A","86","6","31","100"
"PJD15","86","22","5","160"
"LB5005","86","17","2","207"
"HM010","86","10","0","195"
"LU012","86","17","79","260"
"ICO06","86","69","48","143"
"YA002B","86","67","32","111"
"CC4096A","86","8","101","143"
"FJ031","86","62","0","70"
"CA069A","86","13","108","232"
"PPC67","86","26","96","220"
"BB5003","86","20","214","263"
"HC4108A","86","8","159","210"
"VA011A","86","65","15","84"
"PPC33","86","17","15","261"
"LB5063","86","79","19","262"
"SL005A","86","45","118","190"
"LL7058","86","110","4","137"
"AAD38","86","112","75","196"
"CS2103","86","9","70","248"
"AAD41","86","10","105","239"
"HT9105","86","4","142","186"
"HM012A","86","62","1","205"
"HM027B","86","44","0","248"
"BB5209","86","13","24","274"
"SL005B","86","7","9","221"
"AMC25","86","94","11","115"
"HG3046","86","10","143","167"
"CN002A","86","31","5","297"
"MAN07B","86","59","1","191"
"CA017A","86","16","241","279"
"CY017B","86","160","67","249"
"LB5008","86","187","68","267"
"HS2620","86","16","4","239"
"HC4207","86","17","96","315"
"CS2102","86","31","157","249"
"PPC46","86","74","1","100"
"LL7083","87","-1","0","0"
"LA6043","87","-1","0","0"
"HG3750","87","-1","0","0"
"LA6035","87","-1","0","0"
"HB5207","87","-1","0","0"
"HS2084","87","-1","0","0"
"HG3701","87","-1","0","0"
"HT9210","87","-1","0","0"
"SB047","87","-1","0","0"
"CC4729","87","-1","0","0"
"CA037A","87","4","3","108"
"CA055","87","7","39","141"
"BB5113","87","12","6","160"
"CA090/GU027/28","87","15","25","181"
"LL7032B","87","6","0","105"
"GU038/GU039","87","112","1","113"
"GU040B","87","5","3","83"
"DO009","87","6","1","141"
"HM037","87","12","3","127"
"DO023B","87","9","4","115"
"CA023A","87","23","77","177"
"AIS26","87","5","4","105"
"PJD21","87","5","12","168"
"HS2220","87","8","4","148"
"HG3033","87","7","3","140"
"CC4001","87","4","24","140"
"SB054/SB056","87","3","0","61"
"CC4065","87","5","4","145"
"VB010A","87","6","2","118"
"AMC26","87","9","1","152"
"FJ024B","87","7","2","145"
"LB5059A","87","29","1","153"
"DO023A","87","6","3","135"
"PPC70","87","8","16","73"
"MRC17A","87","13","2","76"
"CA115","87","6","3","116"
"HS2678","87","5","0","144"
"HS2704","87","4","60","77"
"MRC15B","87","48","0","91"
"LB5022A","87","9","4","152"
"LA6039/6040","87","5","21","39"
"AMC22","87","4","22","144"
"MRC15A","87","11","13","133"
"VB022","87","10","25","101"
"SSB15","87","7","3","78"
"HS2019","87","10","30","65"
"CA058B","87","6","4","58"
"LB5108C","87","6","2","112"
"VB049A","87","11","7","88"
"CD24/CD19/CD18","87","7","3","117"
"AR028A","87","18","33","73"
"AAD11","87","3","18","62"
"PPC66","87","9","7","115"
"PPC41","87","9","9","117"
"CC4040B","87","12","1","138"
"LL7002D","87","11","17","155"
"PJD22","87","10","6","117"
"AB004B","87","5","2","42"
"AR010","87","4","47","110"
"VB029A","87","14","31","71"
"CT9032","87","34","19","57"
"AMC29","87","13","72","131"
"ISL03","87","7","37","99"
"CC4729/4730","87","7","8","44"
"SLJ05","87","14","22","135"
"HS2268","87","5","59","160"
"MAN10B","87","21","5","31"
"ISI08A","87","27","26","79"
"CM001B","87","8","150","173"
"P035","87","24","9","182"
"DO031A","87","16","66","160"
"PPC69","87","32","41","107"
"RG014A","87","5","51","99"
"DO002A","87","13","4","173"
"BB5204A","87","16","5","147"
"DO012","87","17","2","123"
"HS2203","87","12","27","77"
"PPC50","87","8","27","98"
"P058","87","22","68","103"
"CN017","87","11","31","93"
"HG3596","87","9","71","108"
"HG3544","87","2","37","49"
"HT9038A","87","10","2","148"
"AR011B","87","32","29","73"
"HS2017","87","13","51","150"
"RG011B","87","3","3","70"
"LU001A","87","7","6","176"
"MAN04B","87","15","1","61"
"HS2076","87","15","70","130"
"AAD18","87","16","33","85"
"MMY64","87","6","34","99"
"CA008B","87","6","29","165"
"ISL12","87","69","6","88"
"GMN03","87","39","64","178"
"AR023A","87","8","34","126"
"ISI01A","87","10","19","164"
"GU018C","87","4","75","100"
"HG3546","87","14","56","97"
"HS2632","87","12","58","113"
"AR049B","87","5","66","118"
"NA014B","87","18","41","166"
"HS2623","87","80","79","175"
"SCR01","87","6","44","143"
"BA001B","87","11","67","109"
"RG028A","87","2","1","80"
"MMY89","87","8","12","111"
"CY025B","87","7","66","110"
"HM028A","87","41","29","77"
"HS2085","87","25","62","170"
"PPC51","87","4","0","120"
"AR008","87","46","47","128"
"SCR06/SCR07","87","29","63","214"
"HT9221/HT9223","87","31","0","31"
"LP003","87","25","1","129"
"CA009B","87","10","4","219"
"MRC07A","87","27","11","150"
"MRC03A","87","50","10","65"
"CY001A","87","3","8","118"
"MSG21","87","16","21","188"
"OR003","87","30","8","40"
"VB044","87","35","14","123"
"VB003A","87","20","80","141"
"PGN02","87","65","16","91"
"NA003B","87","5","69","158"
"DO018A","87","49","72","182"
"DO021B","87","16","138","174"
"JU017","87","7","153","169"
"HS2062","87","12","1","214"
"JU016A","87","51","81","132"
"PPC06","87","9","18","221"
"HT9217/9214","87","12","52","73"
"RG002B","87","14","4","230"
"P042","87","7","42","126"
"CB002A","87","3","5","131"
"CC4766/4767","87","72","11","93"
"YA003A","87","7","71","132"
"CM005B","87","46","1","59"
"HS2016","87","88","9","113"
"PGN03","87","8","7","115"
"ISI10","87","30","88","202"
"CY004","87","12","45","191"
"CM003","87","62","41","149"
"HS2862B","87","75","2","82"
"HS2024/HS2022","87","38","4","96"
"BA018B","87","3","80","128"
"PPC13","87","12","85","222"
"CY024A","87","4","12","128"
"CC4773/4775","87","41","45","100"
"PPC22","87","15","89","127"
"LP024","87","13","5","231"
"PPC02B","87","15","21","121"
"PJD09","87","11","40","238"
"GU041B","87","3","81","101"
"RG001B","87","3","5","58"
"AR041","87","2","110","121"
"MT025","87","11","3","241"
"LL7040","87","13","150","205"
"SCR19","87","14","61","235"
"CA064A","87","46","1","47"
"NA010","87","18","134","159"
"HS2518","87","11","133","189"
"CY010A","87","9","87","131"
"HG3557","87","11","5","238"
"PPN03","87","10","6","240"
"LB5240/5242","87","37","9","57"
"CC4758/4760","87","40","9","90"
"LU004B","87","16","42","253"
"CM004B","87","3","95","103"
"CA085B","87","6","26","198"
"CC4045","87","7","145","154"
"HM046","87","11","31","294"
"P088","87","23","55","228"
"HS2854","87","150","35","188"
"BA018A","87","86","6","94"
"CC4057","87","192","1","196"
"CA075","87","10","45","262"
"CT9113","87","11","0","270"
"BB5154","87","91","89","206"
"CA007B","87","131","37","198"
"PPC27","87","43","5","226"
"MMY08","87","181","36","232"
"LA007","87","18","98","123"
"LZ008","87","19","134","328"
"NA005","87","6","29","244"
"PJD14","87","32","86","220"
"FJ008A","87","88","4","99"
"LB5245/5246","87","35","1","36"
"FJ028","87","14","117","301"
"SSB20","87","17","13","295"
"PVA05","87","197","10","215"
"AR001B","87","76","19","161"
"CC4063","87","195","14","239"
"MMY67","87","93","153","250"
"JU015B","87","169","1","176"
"LB5083","87","51","230","285"
"LL7047","87","34","1","386"
"LU009B","87","11","294","413"
"AR067","88","-1","0","0"
"VB041","88","-1","0","0"
"LA6058","88","-1","0","0"
"LB5269","88","-1","0","0"
"LA6052","88","-1","0","0"
"CC4758/4760","88","-1","0","0"
"LL7004A","88","6","57","148"
"LB5046","88","6","3","182"
"LB5400","88","7","0","165"
"CA023B","88","27","85","159"
"HC4109","88","6","1","91"
"RG009A","88","4","0","38"
"NR022/025","88","1","18","42"
"HM014B-TOUCH","88","2","11","94"
"AQB01","88","6","3","72"
"HC4128A","88","5","1","138"
"HG3538","88","6","32","161"
"GGY02","88","11","45","141"
"AQB02","88","8","8","69"
"HS2510/HS2999","88","7","21","57"
"CA080A","88","5","3","91"
"CD011B","88","10","5","101"
"HG3500","88","4","2","64"
"LP002B","88","12","9","114"
"MMY42","88","7","3","104"
"AAD07","88","5","23","114"
"MO011B","88","5","5","122"
"SB010A","88","4","1","38"
"RG012D","88","9","26","54"
"AAG27","88","6","17","110"
"CN003B","88","13","33","64"
"NA015A","88","7","8","166"
"BA015A","88","3","0","87"
"BB5156B","88","6","2","174"
"HG3588","88","9","42","137"
"DO032B","88","6","18","115"
"AIS10","88","9","4","171"
"RG039B","88","6","6","144"
"HG3510","88","11","1","113"
"BA010B","88","6","9","98"
"BA017B","88","7","60","142"
"HG3582","88","6","0","54"
"BA019A","88","5","5","112"
"HC4116","88","6","2","161"
"CC4805B","88","10","70","92"
"CA059A","88","9","43","138"
"BB5180","88","35","74","145"
"AMC13","88","9","36","147"
"FL018","88","7","2","148"
"MMY55","88","8","0","50"
"HT9287","88","66","6","78"
"LU017","88","8","2","166"
"CY022A","88","12","63","110"
"CY002B","88","32","46","94"
"HC4115","88","8","18","152"
"CA027A","88","6","10","129"
"BA019B","88","14","42","95"
"DO008B","88","20","1","138"
"BA003A","88","4","13","108"
"CA018C","88","56","54","125"
"CA070A","88","11","7","179"
"CY021B","88","5","10","93"
"YA004B","88","5","12","53"
"LA6032/LA6033","88","16","26","58"
"VB002B","88","16","3","85"
"HM029A","88","6","3","185"
"BA020","88","7","20","130"
"SCR24","88","5","72","188"
"PJD23A","88","13","3","188"
"HS2247","88","6","1","147"
"FJ014","88","10","33","157"
"HG3516","88","3","9","31"
"VB013A","88","8","2","193"
"OR005B","88","10","20","80"
"MMY41","88","12","18","38"
"DO014A","88","4","3","99"
"LU011","88","7","4","201"
"HS2013","88","9","5","192"
"CY015A","88","14","24","111"
"VB051","88","12","3","64"
"ISL04","88","23","115","199"
"PPC79","88","6","2","137"
"AR009B","88","6","48","90"
"LB5059B","88","60","19","91"
"AAG24","88","23","2","178"
"AQB14","88","13","4","128"
"HA010B","88","21","49","119"
"CC4053","88","10","13","196"
